Date,Open,High,Low,Close,Adj Close,Volume
2019-10-24,47.740002,48.080002,46.709999,47.299999,43.497559,22140500
2019-10-25,47.279999,48.049999,47.110001,47.730000,43.892990,10461600
2019-10-28,47.849998,48.790001,47.700001,48.790001,44.867779,14499600
2019-10-29,48.590000,49.110001,48.459999,48.660000,44.748222,10394400
2019-10-30,48.610001,49.419998,47.529999,49.419998,45.447140,15748200
2019-10-31,48.900002,49.000000,47.950001,48.150002,44.279228,14170300
2019-11-01,48.439999,48.799999,47.450001,47.959999,44.104504,12304300
2019-11-04,48.150002,48.549999,47.400002,47.689999,43.856213,11123000
2019-11-05,47.799999,48.450001,47.630001,47.990002,44.132088,9246200
2019-11-06,48.000000,48.480000,47.349998,47.669998,43.837814,10844200
2019-11-07,48.049999,48.480000,47.459999,47.669998,43.837814,14498100
2019-11-08,47.360001,47.750000,46.560001,47.000000,43.221680,16805900
2019-11-11,46.740002,47.430000,46.410000,47.240002,43.442387,10123900
2019-11-12,47.029999,47.540001,46.349998,46.720001,42.964184,16508300
2019-11-13,46.430000,46.689999,45.810001,45.950001,42.256084,13087600
2019-11-14,46.130001,46.750000,45.759998,46.509998,42.771065,12033500
2019-11-18,47.000000,47.150002,46.000000,46.529999,42.789459,15585600
2019-11-19,46.349998,46.470001,45.709999,45.790001,42.108955,8118000
2019-11-21,45.750000,46.490002,45.650002,46.380001,42.651520,11252800
2019-11-22,46.090000,46.900002,45.919998,46.750000,43.332840,7639800
2019-11-25,46.759998,46.939999,46.270000,46.599998,43.193790,7430100
2019-11-26,46.349998,46.380001,45.560001,46.000000,42.637657,15330000
2019-11-27,46.200001,47.380001,45.490002,47.340000,43.879711,11237900
2019-11-28,46.939999,47.669998,46.560001,47.599998,44.120705,6909900
2019-11-29,47.639999,47.990002,47.410000,47.810001,44.315357,7285500
2019-12-02,47.810001,48.330002,47.430000,47.430000,43.963127,9727400
2019-12-03,48.139999,48.689999,47.950001,48.389999,44.852962,17536700
2019-12-04,48.389999,49.130001,48.299999,49.090000,45.501793,15029100
2019-12-05,49.160000,49.270000,48.310001,48.669998,45.112488,9473100
2019-12-06,48.580002,48.990002,48.270000,48.470001,44.927116,9635700
